"Sector","Symbol"
"Health Care","SSY"
"Public Utilities","STRP"
"Capital Goods","STS"
"Basic Industries","SVM"
"Capital Goods","SVT"
"Health Care","SYN"
"Energy","TAT"
"Technology","TEUM"
"Basic Industries","TGB"
"Energy","TGC"
"Basic Industries","THM"
"Capital Goods","TIK"
"Basic Industries","TIS"
"Consumer Services","TKAT"
"Finance","TMP"
"Basic Industries","TMQ"
"Consumer Services","TPHS"
"Technology","TRT"
"Basic Industries","TRX"
"Health Care","TRXC"
"Health Care","TXMD"
"Capital Goods","UAMY"
"Basic Industries","UEC"
"Capital Goods","UFAB"
"Capital Goods","UQM"
"Basic Industries","URG"
"Basic Industries","USAS"
,"UTG"
"Consumer Non-Durables","UUU"
"Basic Industries","UUUU"
"Consumer Services","UWN"
,"VCF"
,"VFL"
"Basic Industries","VGZ"
"Miscellaneous","VHC"
"Consumer Durables","VII"
"Technology","VISI"
,"VKI"
,"VMM"
"Health Care","VNRX"
"Consumer Services","VSR"
"Basic Industries","WRN"
"Capital Goods","WTT"
"Technology","WYY"
"Basic Industries","XPL"
"Basic Industries","XRA"
"Health Care","XTNT"
"Consumer Non-Durables","XXII"
"Energy","YUMA"
"Technology","ZDGE"
